,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
120,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.891151428222656,-76.99495697021484,,0.0,35.0,2.0,1771257553,5119,2838,2838,1
122,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.94607925415039,-77.09709930419922,310.0,4.572000026702881,45.0,1.0,1771257551,8329,4603,4603,7
123,5509,3131100,11:15:00,20260216,0.0,D40,0.0,38.89228820800781,-77.02388763427734,,0.0,2.0,1.0,1771257555,21789,5509,5509,7
124,5500,17298100,11:00:00,20260216,0.0,D40,0.0,38.89360809326172,-77.02384185791016,33.0,4.572000026702881,2.0,1.0,1771257553,21789,5500,5500,7
126,5505,6934100,11:15:00,20260216,0.0,D40,1.0,38.99338150024414,-77.02945709228516,,0.0,2.0,1.0,1771257549,18907,5505,5505,7
129,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257553,18907,5525,5525,7
131,5537,5326100,10:12:00,20260216,0.0,C53,1.0,38.86677932739258,-76.98518371582031,103.0,6.4008002281188965,47.0,1.0,1771257555,3736,5537,5537,7
134,7146,20942100,11:00:00,20260216,0.0,D96,1.0,38.984588623046875,-77.09590148925781,,0.0,2.0,1.0,1771257551,28523,7146,7146,7
135,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.93149185180664,-77.07708740234375,157.0,3.0480000972747803,37.0,1.0,1771257558,7639,4582,4582,7
138,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.91624069213867,-77.02181243896484,299.0,7.01039981842041,52.0,1.0,1771257566,6843,5464,5464,1
139,5466,25836100,11:00:00,20260216,0.0,C53,0.0,38.845279693603516,-76.98761749267578,,0.0,2.0,1.0,1771257567,13111,5466,5466,7
140,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.91699981689453,-77.03292083740234,90.0,2.4384000301361084,11.0,2.0,1771257562,6884,5470,5470,1
141,5473,22340100,11:24:00,20260216,0.0,C53,1.0,38.92475128173828,-77.05225372314453,122.0,3.0480000972747803,2.0,1.0,1771257568,7272,5473,5473,1
144,5479,842100,10:24:00,20260216,0.0,C53,0.0,38.88113021850586,-76.99494171142578,,0.0,29.0,1.0,1771257563,4520,5479,5479,1
147,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.890411376953125,-76.9949722290039,179.0,9.448800086975098,35.0,1.0,1771257565,5119,2838,2838,1
